sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
29,Kuche Narayan Tilakchand,BADNAPUR (SC),BJP,5,Graduate,8963012,465844,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=924,main_election
30,Ravi Rana,BADNERA,IND,10,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=3287,main_election
31,Chavan Dipika Sanjay,BAGLAN (ST),NCP,0,12th Pass,27536500,360000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=4186,main_election
32,Baliram Bhagwan Siraskar,BALAPUR,Bharipa Bahujan Mahasangha,0,8th Pass,18274081,1355354,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=329,main_election
33,Sudhir Mungantiwar,BALLARPUR,BJP,10,Post Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=912,main_election
34,Ajit Anantrao Pawar,BARAMATI,NCP,3,10th Pass,388327867,121532205,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1124,main_election
35,Dilip Gangadhar Sopal,BARSHI,NCP,0,Graduate Professional,145899667,0,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1136,main_election
36,Mundada Jaiprakash Shankarlal,BASMATH,SHS,1,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=4636,main_election
37,Jaydattji Sonajirao Kshirsager,BEED,NCP,0,Graduate Professional,447273000,33122000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=786,main_election
38,Smt. Manda Mhatre,BELAPUR,BJP,0,5th Pass,158042444,2840273,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=948,main_election
39,Ramchandra Avsare,BHANDARA (SC),BJP,0,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1018,main_election
40,Ashok Patil,BHANDUP WEST,SHS,7,Graduate Professional,20575449,0,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=3874,main_election
41,Mahesh Chaugule,BHIWANDI WEST,BJP,8,10th Pass,13282384,900000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1033,main_election
42,Mhatre Rupesh Laxman,BHIWANDI EAST,SHS,6,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1880,main_election
43,Shantaram Tukaram More,BHIWANDI RURAL (ST),SHS,0,Literate,1906534,1412590,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1868,main_election
44,Chavan Ameeta,BHOKAR,INC,0,12th Pass,396696367,35020693,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1656,main_election
45,Santosh Danve,BHOKARDAN,BJP,2,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1163,main_election
46,Sangram Anantrao Thopate,BHOR,INC,2,Graduate,227601892,5164478,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=581,main_election
47,Mahesh (dada) Kisan Landge,BHOSARI,IND,0,Graduate,11795918,2000000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2618,main_election
48,Sanjay Savkare,BHUSAWAL (SC),BJP,0,Others,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=876,main_election
49,Tare Vilas Sukur,BOISAR (ST),Bahujan Vikas Aaghadi,0,10th Pass,3484740,703191,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=647,main_election
50,Vinod Shreedhar Tawde,BORIVALI,BJP,1,Graduate Professional,69776904,1043751,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2020,main_election
51,Vijay Wadettiwar,BRAMHAPURI,INC,6,10th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=533,main_election
52,Harshwardhan Vasantrao Sapkal,BULDHANA,INC,0,Graduate Professional,9985486,0,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=480,main_election
