sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
153,Pradhyumn Singh,RAJAKHERA,INC,0,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1211,main_election
154,Golma,RAJGARH-LAXMANGARH,NPEPT,0,Literate,21356007,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1395,main_election
155,Kiran Maheshwari,RAJSAMAND,BJP,3,Graduate,19152534,2143800,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=563,main_election
156,Chandra Kanta Meghwal,RAMGANJ MANDI,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=457,main_election
157,Gyandev Ahuja,RAMGARH,BJP,0,12th Pass,11565381,375028,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=398,main_election
158,Narayan Singh Dewal,RANIWARA,BJP,0,Graduate,70781153,2876000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=703,main_election
159,Rajkumar Rinwa,RATANGARH,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=231,main_election
160,Jagasi Ram,REODAR,BJP,0,5th Pass,7047114,690000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=692,main_election
161,Manoj Kumar,SADULPUR,BSP,0,Graduate Professional,3755448,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1120,main_election
162,Gurjant Singh,SADULSHAHAR,BJP,0,Literate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=163,main_election
163,Anita Katara,SAGWARA,BJP,0,Post Graduate,4274682,435708,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=642,main_election
164,Dr. Balu Ram Chaudhary,SAHARA,BJP,0,Post Graduate,48621506,12163924,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1700,main_election
165,Amrit Lal,SALUMBER,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=656,main_election
166,Sukhram,SANCHORE,INC,2,Graduate Professional,7716100,270000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=706,main_election
167,Ghanshyam Tiwari,SANGANER,BJP,0,Graduate Professional,45301535,7193377,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=340,main_election
168,Krishan Kadwa,SANGARIA,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=218,main_election
169,Heeralal Nagar,SANGOD,BJP,3,Graduate,66258805,14309485,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=478,main_election
170,Ramesh,SAPOTRA,INC,0,Graduate Professional,21110000,2287049,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1164,main_election
171,Ashok Gehlot,SARDARPURA,INC,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=140,main_election
172,Bhanwarlal,SARDARSHAHAR,INC,0,10th Pass,49646401,1315811,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=17,main_election
173,Rajkumari Diyakumari,SAWAI MADHOPUR,BJP,0,Others,96460474,2400503,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1095,main_election
174,Kailash Chandra Meghwal,SHAHPURA,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=511,main_election
175,Rao Rajendra Singh,SHAHPURA,BJP,0,Graduate,235493014,3700000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1291,main_election
176,Manvendra Singh,SHEO,BJP,0,Post Graduate,22105790,614444,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=783,main_election
177,Babu Singh,SHERGARH,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=873,main_election
178,Ratan Jaldhari,SIKAR,BJP,0,12th Pass,103444744,20125127,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=266,main_election
179,Geeta Verma,SIKRAI,NPEPT,0,Graduate Professional,20438000,2000000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=2134,main_election
180,Otaram,SIROHI,BJP,0,8th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=701,main_election
181,Hameersingh Bhayal,SIWANA,BJP,0,8th Pass,13622571,286000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=747,main_election
182,Sanjana Agari,SOJAT,BJP,0,Graduate,10171383,1450000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=933,main_election
183,Suryakanta Vyas,SOORSAGAR,BJP,0,5th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=822,main_election
184,Jhabar Singh Kharra,SRIMADHOPUR,BJP,0,Graduate,6886578,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=280,main_election
185,Khemaram Meghwal,SUJANGARH,BJP,0,12th Pass,14775551,4687032,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=232,main_election
186,Madan Rathore,SUMERPUR,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=909,main_election
187,Santosh Ahlawat,SURAJGARH,BJP,0,Post Graduate,35897048,5704000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=236,main_election
